url,chunk_number,content
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,10,"Health & Life Sciences Resume, Chronological Style, Sample #2 [LINK: /students/docs/detail/303?filename=Nursing-Resume.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the health and life sciences field is an example of how to present skills and experience with confidence and clarity. Save Business Resume, Skills Based (Functional) Style [LINK: /students/docs/detail/302?filename=Office-Admin-Functional-Resume.pdf] A strong resume is key to landing interviews. This skills-based (functional) resume for a student or new grad seeking employment in the business sector is an example of how to present skills and experience with confidence and clarity. Save Business Resume, Chronological Style [LINK: /students/docs/detail/301?filename=Post-Grad-Chronological.pdf] A strong resume is key to landing interviews."
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,11,"Business Resume, Chronological Style [LINK: /students/docs/detail/301?filename=Post-Grad-Chronological.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the field of business is an example of how to present skills and experience with confidence and clarity. Save Trades & Apprenticeship Resume, Chronological Style, Sample #2 [LINK: /students/docs/detail/306?filename=Electrical-Technician-Resume-Sample.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity. Save Hospitality & Culinary Arts Resume, Chronological Style, Part Time [LINK: /students/docs/detail/300?filename=Part-Time-Resume.pdf] A strong resume is key to landing interviews."
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,12,"Hospitality & Culinary Arts Resume, Chronological Style, Part Time [LINK: /students/docs/detail/300?filename=Part-Time-Resume.pdf] A strong resume is key to landing interviews. This chronological style resume for a student or new grad seeking employment in the hospitality or culinary field is an example of how to present skills and experience with confidence and clarity. Save Trades & Apprenticeship Resume, Chronological Style, Sample #1 [LINK: /students/docs/detail/299?filename=Automotive-Service-Technician-Resume.pdf] A strong resume is key to landing interviews. This chronological style sample resume for a student or new graduate seeking employment in the trades is an example of how to present skills and experience with confidence and clarity. Save Academic Integrity FAQs for Students [LINK: /students/docs/detail/286?filename=Academic-Integrity-FAQs-for-Students.pdf] Get answers to your questions related to Academic Integrity Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,13,"Get answers to your questions related to Academic Integrity Save Assistive Software [LINK: /students/infoPages/detail/20/assistive-software] We have the following software available at all College campuses within the designated assistive technology space(s). Save Tracking Your Job Search and Networking [LINK: /students/docs/detail/298?filename=Job-Search-and-Networking-Tracking-.pdf] Staying organized, focused and motivated as you prepare for and conduct your job search is an essential part of success. Setting goals, tracking your applications and networking activities will help! Save Grad Launch Resource Guide [LINK: /students/docs/detail/297?filename=SE-_-Alumni-Digital-Resource-Guide.pdf] Congratulations, soon-to-be graduate! As you prepare for life after graduation, this guide is designed to help you wrap up your time as a student and make the most of the resources available to you as a new graduate. Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,14,"As you prepare for life after graduation, this guide is designed to help you wrap up your time as a student and make the most of the resources available to you as a new graduate. Save Understanding Apprenticeships [LINK: /students/docs/detail/296?filename=Understanding-Apprenticeships.pdf] An apprenticeship can lead to a very rewarding career. Learn more about essential steps to help you explore trades, assess your fit, and understand the certification process so you can make informed decisions and successfully build your career in the trades! Save Apprenticeship Pathway [LINK: /students/docs/detail/295?filename=Apprenticeship-Pathway.pdf] An apprenticeship involves several key steps. Review this tip sheet to understand the process an apprentice will typically go through that leads to certification as a Journey Person. Save Fraudulent Jobs and Scam Awareness [LINK: /students/docs/detail/38?filename=Fraudulent-Employers-and-Common-Job-Search-Scams.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,15,"Save Fraudulent Jobs and Scam Awareness [LINK: /students/docs/detail/38?filename=Fraudulent-Employers-and-Common-Job-Search-Scams.pdf] When searching for a job, it is important to know the signs of a fraudulent job posting or employment scam. Learn about safe job search practices, how you can protect yourself from employment fraud, and where to go more for information. Save Working-on-Campus [LINK: /students/docs/detail/175?filename=Working-On-Campus.pdf] College College recruits numerous students for on-campus/work study opportunities each term. Various departments from College College will post their available student positions on the MyCareer 
job board. Save Job Search Websites [LINK: /students/docs/detail/40?filename=Helpful-Job-Search-Websites.pdf] Helpful job search websites for students and new graduates seeking employment. Save Cold Calling [LINK: /students/docs/detail/32?filename=Cold-Calling.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,16,"Save Cold Calling [LINK: /students/docs/detail/32?filename=Cold-Calling.pdf] Cold calling is contacting an employer that you have not been in touch with before. It is one of the most effective ways of tapping into the hidden job market (jobs that are not advertised). Learn how to use this tool to support your job search. Save Working Part-Time When You Are A Student [LINK: /students/docs/detail/39?filename=Working-Part-Time-as-a-Student.pdf] When you are looking for part-time work it is important to find something that will allow you to prioritize your studies. This resource discusses typical part-time student jobs, jobs on campus and common methods for searching for part-time work. Save Disclosure and Accommodations in the Workplace [LINK: /students/docs/detail/45?filename=Disclosure-and-Accommodations-in-the-Workplace.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,17,"Save Disclosure and Accommodations in the Workplace [LINK: /students/docs/detail/45?filename=Disclosure-and-Accommodations-in-the-Workplace.pdf] This resource examines the timing, advantages, disadvantages and things to consider when considering disclosure and accommodations requests during the recruitment  process. Save Equity, Diversity and Inclusion (EDI) in the Workplace Resources [LINK: /students/docs/detail/294?filename=Equity%2C-Diversity-and-Inclusion-in-the-Workplace-Resources.pdf] This tip sheet offers key resources for researching employers, finding EDI-focused job postings, and understanding related legislation. Whether you're starting out or advancing your career, these tools will help you navigate EDI with insight and confidence. Save Writing Services Virtual Drop-in Schedule Spring 2025 [LINK: /students/docs/detail/293?filename=Virtual-Writing-Services-Drop-in.pdf] Virtual drop-in schedule for Writing Services Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,18,"Virtual drop-in schedule for Writing Services Save SSA Drop-In [LINK: /students/infoPages/detail/49/ssa-drop-in] Drop-in options Save 2025 Spring Semester Planner [LINK: /students/docs/detail/289?filename=2025-Spring_Planner_DIGITAL.pdf] Use this planner to stay organized this semester. Save Writing Services Drop-in Schedule Spring 2025 [LINK: /students/docs/detail/292?filename=Writing-Services-Drop-in.pdf] Writing Services In-Person Drop-In Hours Save Repeating Courses [LINK: /students/infoPages/detail/52/repeating-courses] definition of what it means for repeating courses Save Learning Plan and Learning Contract [LINK: /students/infoPages/detail/51/learning-plan-and-learning-con] definition of what a learning plan and learning contract are Save Cover Letters [LINK: /students/docs/detail/17?filename=Cover-Letters.pdf] This resource explains the purpose and components of a cover letter, and provides a sample. Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,19,"This resource explains the purpose and components of a cover letter, and provides a sample. Save Medical Clinic Uninsured Services [LINK: /students/infoPages/detail/50/medical-clinic-uninsured-servi] Uninsured services offered by the College College Medical Clinic. Save The Job Offer [LINK: /students/docs/detail/44?filename=The-Job-Offer.pdf] Negotiating a job offer can be stressful and intimidating. This resource provides some helpful tips for negotiating an offer of employment. Save Social Media Checklist [LINK: /students/docs/detail/291?filename=Social-Media-Checklist-.pdf] As you prepare to enter the professional world, it's crucial to ensure your social media presence reflects your career goals. This checklist will guide you in transforming your online profiles into powerful tools to make a positive impression on potential employers and standing out in your field. Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,20,"This checklist will guide you in transforming your online profiles into powerful tools to make a positive impression on potential employers and standing out in your field. Save Job Searching with Social Media [LINK: /students/docs/detail/290?filename=Job-Searching-with-Social-Media-.pdf] In today's digital age, social media is a powerful tool for job searching. Beyond connecting with friends, platforms like LinkedIn help you network with potential employers. This tip sheet will guide you on leveraging social media to enhance your job search and present your best professional self. Save Managing Your Time [LINK: /students/infoPages/detail/29/managing-your-time] Learn how to prioritize, approach procrastination, and plan your time. Save Managing Stress [LINK: /students/docs/detail/288?filename=Stress-Inforgraphic_FINAL_DIGITAL.pdf] Learn how the stress cycle can impact you, and what you can do to overcome it. Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,21,"Learn how the stress cycle can impact you, and what you can do to overcome it. Save Support for Discontinued Students [LINK: /students/infoPages/detail/48/support-for-discontinued-stude] in-person and virtual drop-in support for discontinued students Save Using Elevator Pitch in VMock [LINK: /students/videos/detail/38/using-elevator-pitch-in-vmock] Learn how to use VMock to practice your interview skills or 30 second personal pitch. Save Understanding VMock feedback [LINK: /students/videos/detail/37/understanding-vmock-feedback] Learn how to upload a resume and understand the feedback that VMock gives you. Save Volunteering: The Benefits and How to Find Opportunities [LINK: /students/docs/detail/287?filename=Volunteering-Benefits-and-Opportunities.pdf] Volunteering can significantly boost your future job prospects by helping you gain valuable experience, develop skills, build your resume, and establish a network of references. Curious to learn more?"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,22,"Volunteering can significantly boost your future job prospects by helping you gain valuable experience, develop skills, build your resume, and establish a network of references. Curious to learn more? Check out this tip sheet to discover how volunteering can be a game-changer for your future! Save What is a Social Insurance Number and Why You Need One [LINK: /students/docs/detail/127?filename=Social-Insurance-Number.pdf] This document provides information on Social Insurance Numbers (SIN), how to apply for your SIN, why you need a SIN to work in Canada, and how to protect it from being used by others. Save Harm Reduction Approach to Substance Use [LINK: /students/docs/detail/283?filename=Harm-Reduction-Infographic_DIGITAL.pdf] Learn more information on this approach as well as resources, harm reduction strategies, and community contacts Save Following Up After a Job Fair or Networking Event [LINK: /students/docs/detail/285?filename=Job-Fair-and-Networking-Follow-Up.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,23,"Save Following Up After a Job Fair or Networking Event [LINK: /students/docs/detail/285?filename=Job-Fair-and-Networking-Follow-Up.pdf] After you attend a job fair or a networking event it is important to follow up with key contacts you've made! This tip sheet will help you understand how to do this in a timely and professionally manner. Save Co-Curricular Record [LINK: /students/infoPages/detail/16/co-curricular-record] The Co-Curricular Record (CCR) is an official document, complementary to an academic transcript, which recognizes and records your learning through approved co-curricular experiences at College College. Save Student Success Resources and Services [LINK: /students/docs/detail/284?filename=College-Student-Services_Students.pdf] An overview of the services Student Success offers. Save Disability-Related Accommodation Process [LINK: /students/faqs/detail/93/disability-related-accommodati]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,24,"Save Disability-Related Accommodation Process [LINK: /students/faqs/detail/93/disability-related-accommodati] The academic accommodation process is a collaborative effort between students and Accessible Learning. The goal is to reach agreement on appropriate accommodations, ensuring students have equitable access to their education. Faculty may be involved in this process as experts in academic requirements.While we do not share students’ health... Save College Laptop and Technology Orientation [LINK: /students/links/detail/91] Whether starting with your first laptop or needing a refresher, you’ll find all the information in this tutorial. You’ll understand how to use your laptop and navigate College’s technologies when you're done. https://lib.collegec.on.ca/cctechorientation/welcome [LINK: /students/links/detail/91] Save Tech Help [LINK: /students/links/detail/90] Looking for answers to tech how-to questions?"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,25,"Tech Help [LINK: /students/links/detail/90] Looking for answers to tech how-to questions? •	Drop in a Zoom meeting with a TechBar representative
•	Hours: Monday to Friday, 10 am to 3 pm
•	Note: Drop-in service may sometimes be unavailable due to unplanned absences or technical issues. https://lib.collegec.on.ca/Tech-Loans-Help [LINK: /students/links/detail/90] Save TechFAQ [LINK: /students/links/detail/89] Search for answers to frequently asked questions, e.g., how the TechBar staff can help you, how can I book a meeting room, can I forward my College email to my personal email, etc. https://lib.collegec.on.ca/tech-faq [LINK: /students/links/detail/89] Save Digital Skills Toolkit [LINK: /students/links/detail/88] Learn to use Zoom, Office 365, video production, and other computer skills https://lib.collegec.on.ca/digital-skills [LINK: /students/links/detail/88] Save Before Your Assessment [LINK: /students/infoPages/detail/42/before-your-assessment]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,26,"Save Before Your Assessment [LINK: /students/infoPages/detail/42/before-your-assessment] Tips of what to do before writing in the Test Centre Save After Your Assessment [LINK: /students/infoPages/detail/44/after-your-assessment] What to expect after an assessment in the Test Centre Save During Your Assessment [LINK: /students/infoPages/detail/43/during-your-assessment] Considerations for during your assessment in the Test Centre Save Student Rights & Responsibilities FAQs [LINK: /students/faqs/detail/92/student-rights-and-responsibil] Who do I contact if I have an emergency or safety concern?If you feel unsafe or need immediate attention on-campus, contact Safety and Security.If you are off campus, contact emergency services by calling 911.If you are in crisis and need urgent mental health support, the following resources can help: 
Suicide Crisis Helpline (all of Canada):... Save Follow Up After An Interview [LINK: /students/docs/detail/282?filename=Interview-Thank-You-Note.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,27,"Save Follow Up After An Interview [LINK: /students/docs/detail/282?filename=Interview-Thank-You-Note.pdf] Following up after an interview with a thank you message to the interviewer(s) is super way to stand out; but is also an often forgotten step in the interview process. This tip sheet will help you understand the value of following up and how to do that professionally. Save Discrimination & Harassment Prevention Policy [LINK: /students/docs/detail/281?filename=discrimination-and-harassment-prevention-policy-FINAL-Jan-2025.pdf] It is the policy of College College that all members of the College community have a right to a work and study environment that is safe and respectful, free from discrimination, hate and harassment. Save Student Housing Policy [LINK: /students/docs/detail/280?filename=Student-Housing-Policy-FINAL-January-2025.pdf]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,28,"Save Student Housing Policy [LINK: /students/docs/detail/280?filename=Student-Housing-Policy-FINAL-January-2025.pdf] The College College Institute of Technology and Advanced Learning (College) is committed to offering housing options and related services, supports, and resources that enhance the academic success and well-being of all students. Save Student Mental Health Policy [LINK: /students/docs/detail/279?filename=Student-Mental-Health-Policy-FINAL-January-2025.pdf] College College Institute of Technology and Advanced Learning (College) is committed to cultivating a supportive teaching, learning, living and working environment that addresses the health and wellness needs of our students. Save The Great College Cookbook [LINK: /students/docs/detail/225?filename=Recipe-Book-DIGITAL_Jan-2025.pdf] Get cooking with these healthy and affordable recipes! Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,29,"Get cooking with these healthy and affordable recipes! Save Academic Integrity Virtual Drop-In Schedule Winter 2025 [LINK: /students/docs/detail/278?filename=Academic-Integrity-Virtual-Drop-In_Winter-2025.pdf] View when the drop-in times are to connect with an Academic Integrity Advisor. Save Learning Skills Appointments FAQ [LINK: /students/docs/detail/277?filename=Learning-Skills-Appointments-FAQ.pdf] Answer all your questions about what to expect from a Learning Skills Appointment. Save Online Learning [LINK: /students/infoPages/detail/40/online-learning] Learning online offers opportunities and challenges. Learn how to manage your time, get assignments done, and take online tests. Save Test-Taking [LINK: /students/infoPages/detail/39/test-taking] Learn strategies for taking different types of tests and managing test anxiety. Save Working in Groups [LINK: /students/infoPages/detail/38/working-in-groups]"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,30,"Save Working in Groups [LINK: /students/infoPages/detail/38/working-in-groups] Make the most of group work with tools for getting started and completing projects Save Studying [LINK: /students/infoPages/detail/33/studying] Explore effective study techniques and tools. Save Reading [LINK: /students/infoPages/detail/32/reading] Find our how to read more effectively with active reading strategies. Save Note-Taking [LINK: /students/infoPages/detail/31/note-taking] Learn how note-taking supports your learning. Save Getting Organized [LINK: /students/infoPages/detail/30/getting-organized] Get organized for the semester using tools for planning, goal setting, and breaking down assignments. Save Accessing Healthcare Services in Canada [LINK: /students/docs/detail/124?filename=Health-Services-%282%29-%281%29.pdf] This document provides information on the Canadian healthcare system and how to access both on-campus and off-campus health and wellness services."
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,31,Accessing Healthcare Services in Canada [LINK: /students/docs/detail/124?filename=Health-Services-%282%29-%281%29.pdf] This document provides information on the Canadian healthcare system and how to access both on-campus and off-campus health and wellness services. It also provides helpful links to information on the College Health Plans. Save Arranging Your Transportation from Toronto Pearson International Airport [LINK: /students/docs/detail/128?filename=Public-Transit-_2_.pdf] It is your responsibility to arrange transportation from the Toronto Pearson Airport to your new home city. This document provides helpful information on the various transportation services available to choose from. Save Getting Your Government-Issued Identification Card [LINK: /students/docs/detail/123?filename=Government-Issued-ID.pdf] Personal identification (ID) is essential.
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,32,"Getting Your Government-Issued Identification Card [LINK: /students/docs/detail/123?filename=Government-Issued-ID.pdf] Personal identification (ID) is essential. While your
international passport is an acceptable form of ID, it is
highly recommended that you carry a provincial
government-issued ID. Save How to Set Up a Bank Account in Canada [LINK: /students/docs/detail/122?filename=BANKING-IN-CANADA-%282%29.pdf] Information on the banking system in Canada and how to choose the right bank to suit your needs as an international student. Save Mobile Phones and Phone Services [LINK: /students/docs/detail/126?filename=PHONE-SERVICES-%281%29-%281%29.pdf] There are a number of mobile phone plan providers in Ontario. This document provides general information on how to set up temporary access to phone services immediately upon arrival in Canada, the major mobile service providers and the types of service plans available to meet your needs and budget. Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,33,"This document provides general information on how to set up temporary access to phone services immediately upon arrival in Canada, the major mobile service providers and the types of service plans available to meet your needs and budget. Save Things to Consider When Viewing Accommodations [LINK: /students/docs/detail/130?filename=W2025-Things-to-Consider-in-Your-Housing-Search-Final.pdf] A useful checklist of things to consider when viewing and selecting suitable accommodations. Save International Student Off-Campus Housing Guide [LINK: /students/docs/detail/108?filename=W2025-Housing-Guide-Final.pdf] Information about off-campus housing including the cost of housing, housing search, dealing with landlords, and tenant rights and responsibilities. Save International Student FAQs [LINK: /students/docs/detail/133?filename=W2025-International-Student-FAQs.pdf] Answers to frequently asked questions and links to resources for international students Save"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,34,"Answers to frequently asked questions and links to resources for international students Save In-Person Job Fair Success -Four P’s [LINK: /students/docs/detail/276?filename=Talent-Hub-Co-op-tip-sheet-job-fair-4p%27s.pdf] You have a Job Fair coming up… To truly make the most of your experience and capture the attention of recruiters, consider these comprehensive strategies Save Your 30 Second Introduction Pitch [LINK: /students/docs/detail/275?filename=30-sec-intro.pdf] A 30-second introduction is a powerful tool for presenting yourself to potential employers, especially during co-op job searches and in-person job fairs. It's a concise summary of your background, education, and work experience designed to capture the interest of recruiters and hiring managers. Save Personal Branding Check List [LINK: /students/docs/detail/274?filename=Personal-Branding-checklist-W25-2.pdf] Getting ready for a job fair or networking event? Check out our Personal Branding Checklist!"
https://successportal.collegec.on.ca/students/resources/search/?order=Relevance&topicsUseAnd=true&take=428,35,"Getting ready for a job fair or networking event? Check out our Personal Branding Checklist! It’s packed with essential tips to help you polish your resume and LinkedIn profile, ensuring you present yourself in the best light possible. Good luck! Save Online Learning Checklist [LINK: /students/docs/detail/273?filename=Online-Learning-Checklist.pdf] Use this online learning checklist Save Strategies for Taking Online Tests [LINK: /students/docs/detail/272?filename=Strategies-for-Taking-Online-Tests.pdf] Here are some strategies to utilize when taking online tests. Save Preparing for Open-Book Tests [LINK: /students/docs/detail/271?filename=Preparing-for-Open-Book-Tests.pdf] Learn preparation methods for open-book tests. Save How to Answer Essay and Short Answer Questions [LINK: /students/docs/detail/270?filename=How-to-Answer-Essay-and-Short-Answer-Questions.pdf] Learn strategies to answer essay and short answer questions Save"
